,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-03-30 10:23:00,1.24846,1.24853,1.24838,1.24838,72,0,0,1.24875,1.2486,1.24847,0.00021,0.00022,0.00013,1.24844,1.2485179490214766,1.24853,1.24838,1.0,sell lose,2022-03-30 10:27:00,1.24834,1.24878,,,,,
2022-03-30 10:36:00,1.24862,1.24866,1.24842,1.24842,68,0,0,1.24874,1.24862,1.24857,0.00023,0.00022,0.00013,1.24853,1.2487050168394802,1.2487050168394802,1.24842,1.0,sell break even,2022-03-30 11:02:00,1.24838,1.24903,,,,,
2022-03-30 11:08:00,1.2484,1.2484,1.24822,1.24824,56,0,0,1.24855,1.24839,1.24823,0.00026,0.00027,0.00016,1.24832,1.248517724266284,1.248517724266284,1.24822,1.0,sell win_3,2022-03-30 14:42:00,1.2485750000000002,1.2489700000000001,,,,,
2022-03-30 15:36:00,1.24763,1.24773,1.24751,1.24757,104,0,0,1.248,1.24795,1.24794,0.00025,0.00025,0.00013,1.24761,1.24774394718074,1.24774394718074,1.24751,1.0,sell win_3,2022-03-30 15:59:00,1.2478449999999999,1.24822,,,,,
2022-03-30 17:59:00,1.24482,1.2449,1.24442,1.24476,239,0,0,1.24535,1.24463,1.2441,0.00048,0.00046,0.00025,1.24473,1.2450691970821053,1.2450691970821053,1.24442,1.0,sell lose,2022-03-30 18:03:00,1.245,1.24562,,,,,
2022-03-31 15:59:00,1.25148,1.25148,1.2507,1.25084,121,0,0,1.25173,1.25154,1.25122,0.00028,0.00026,0.00018,1.25112,1.2515427985878662,1.2515427985878662,1.2507,1.0,sell lose,2022-03-31 16:06:00,1.2512349999999999,1.25181,,,,,
2022-04-01 17:16:00,1.25016,1.25044,1.25005,1.25038,69,0,0,1.24989,1.25006,1.25027,0.0003,0.0003,0.00022,1.25026,1.24994739436722,1.25044,1.24994739436722,,,,,,1.0,buy break even,2022-04-01 17:19:00,1.25006,1.24965
2022-04-01 17:20:00,1.25036,1.25067,1.25034,1.25061,113,0,0,1.24991,1.25008,1.25027,0.00031,0.0003,0.00022,1.25049,1.2501879621479512,1.25067,1.2501879621479512,,,,,,1.0,buy break even,2022-04-01 17:52:00,1.2507,1.25
2022-04-04 11:20:00,1.24932,1.24946,1.24932,1.24936,34,0,0,1.24984,1.24949,1.2492,0.00021,0.00021,0.00012,1.24936,1.2494300369831963,1.24946,1.24932,1.0,sell break even,2022-04-04 11:41:00,1.24928,1.24964,,,,,
2022-04-04 15:24:00,1.24933,1.24943,1.24928,1.24941,29,0,0,1.24971,1.24966,1.24955,0.0002,0.0002,0.00016,1.24936,1.249450298067433,1.249450298067433,1.24928,1.0,sell win_3,2022-04-04 16:29:00,1.24924,1.2497,,,,,
2022-04-04 16:49:00,1.24876,1.24879,1.24855,1.24858,56,0,0,1.24919,1.24896,1.24866,0.00019,0.00019,0.00016,1.24867,1.248866186373465,1.248866186373465,1.24855,1.0,sell win_3,2022-04-04 17:54:00,1.24851,1.2490400000000002,,,,,
2022-04-04 17:54:00,1.24736,1.24739,1.24718,1.24735,63,0,0,1.24884,1.24862,1.2484,0.00026,0.00025,0.00017,1.24732,1.247619697835221,1.247619697835221,1.24718,1.0,sell break even,2022-04-04 18:11:00,1.247955,1.24877,,,,,
2022-04-04 18:26:00,1.24854,1.24856,1.24841,1.2485,55,0,0,1.24861,1.24837,1.24823,0.00024,0.00024,0.00019,1.2485,1.2486965091276028,1.2486965091276028,1.24841,1.0,sell lose,2022-04-04 18:46:00,1.24837,1.24898,,,,,
2022-04-05 09:30:00,1.24819,1.24825,1.24811,1.24812,54,0,3,1.24817,1.24802,1.24793,0.00014,0.00014,0.0001,1.24817,1.2482720868108297,1.2482720868108297,1.24811,1.0,sell win_3,2022-04-05 09:52:00,1.24807,1.24845,,,,,
2022-04-05 11:37:00,1.24593,1.24594,1.24589,1.2459,30,0,0,1.24659,1.24612,1.24575,0.00017,0.00019,0.00015,1.24591,1.246029412527939,1.246029412527939,1.24589,1.0,sell break even,2022-04-05 12:31:00,1.24585,1.24635,,,,,
2022-04-06 09:49:00,1.25029,1.25033,1.25018,1.25028,36,0,0,1.25001,1.25021,1.25041,0.00016,0.00016,0.00011,1.25027,1.2501870800190014,1.25033,1.25018,,,,,,1.0,buy lose,2022-04-06 10:00:00,1.25036,1.25003
2022-04-06 16:01:00,1.24907,1.24907,1.2488,1.24883,39,0,0,1.2493,1.24916,1.24902,0.00025,0.00024,0.00017,1.24894,1.2490845148547025,1.2490845148547025,1.2488,1.0,sell break even,2022-04-06 16:32:00,1.2487599999999999,1.24932,,,,,
2022-04-06 17:46:00,1.24971,1.25022,1.24971,1.24999,106,0,0,1.24967,1.24983,1.25006,0.0003,0.00028,0.00023,1.24991,1.2494592363159729,1.25022,1.2494592363159729,,,,,,1.0,buy break even,2022-04-06 17:56:00,1.249695,1.24914
2022-04-06 17:59:00,1.25017,1.25041,1.25013,1.25033,105,0,0,1.24972,1.24988,1.25007,0.00034,0.00034,0.00024,1.25026,1.2498439732954487,1.25041,1.2498439732954487,,,,,,1.0,buy break even,2022-04-06 18:02:00,1.24997,1.2495
2022-04-06 18:06:00,1.24976,1.24993,1.24976,1.24988,72,0,0,1.24973,1.24988,1.25002,0.00034,0.00036,0.00025,1.24983,1.2496970622913708,1.24993,1.2496970622913708,,,,,,1.0,buy win_3,2022-04-06 18:28:00,1.24996,1.24938
2022-04-06 19:33:00,1.25053,1.25068,1.25053,1.25065,25,0,0,1.25027,1.25046,1.25052,0.0002,0.0002,0.00027,1.2506,1.2504905125137686,1.25068,1.2504905125137686,,,,,,1.0,buy break even,2022-04-06 19:54:00,1.25071,1.25031
2022-04-07 16:45:00,1.25705,1.25716,1.25694,1.25699,98,0,0,1.25638,1.25667,1.25706,0.00028,0.00027,0.0002,1.25704,1.2566892765465103,1.25716,1.2566892765465103,,,,,,1.0,buy win_3,2022-04-07 16:51:00,1.256745,1.2563
