,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop
2022-04-21 15:55:00,128.133,128.16,128.132,128.152,114,0,0,128.13614,128.15815,128.17404,0.03922,0.04048,0.0278,128.14425,128.11729879754307,128.16,128.11729879754307,1.0,buy break even,2022-04-21 16:00:00,128.119,128.07500000000002,,,,,
2022-04-21 17:29:00,128.319,128.339,128.307,128.338,88,0,0,128.23693,128.2828,128.33577,0.03423,0.03422,0.03361,128.32575,128.30534081188154,128.339,128.30534081188154,1.0,buy win_3,2022-04-21 17:50:00,128.34199999999998,128.27800000000002,,,,,
2022-04-22 16:49:00,128.382,128.417,128.366,128.417,246,0,0,128.40236,128.43019,128.45985,0.05688,0.05795,0.02733,128.3955,128.3722210741241,128.417,128.366,1.0,buy break even,2022-04-22 16:51:00,128.3505,128.281,,,,,
2022-04-22 16:58:00,128.366,128.416,128.365,128.406,158,0,0,128.39968,128.42177,128.43308,0.04771,0.04918,0.0283,128.38825,128.35856683803542,128.416,128.35856683803542,1.0,buy break even,2022-04-22 17:01:00,128.3775,128.336,,,,,
2022-04-22 18:04:00,128.641,128.667,128.567,128.618,270,0,0,128.37079,128.37184,128.38065,0.05465,0.04464,0.03387,128.62325,128.52757890138477,128.667,128.52757890138477,1.0,buy win_3,2022-04-22 18:11:00,128.515,128.36,,,,,
2022-04-25 11:11:00,128.288,128.295,128.25,128.259,106,0,0,128.28279,128.22707,128.19407,0.04134,0.04155,0.03349,128.273,128.30192607870498,128.30192607870498,128.25,,,,,,1.0,sell win_3,2022-04-25 11:22:00,128.2875,128.32799999999997
2022-04-25 11:23:00,128.187,128.196,128.181,128.185,110,0,0,128.27577,128.2258,128.20339,0.03245,0.03428,0.03453,128.18725,128.20201878078095,128.20201878078095,128.181,,,,,,1.0,sell win_3,2022-04-25 11:31:00,128.17800000000003,128.248
2022-04-25 16:23:00,128.103,128.103,128.042,128.044,114,0,0,128.18158,128.17987,128.17796,0.03711,0.03366,0.0323,128.073,128.13824676331367,128.13824676331367,128.042,,,,,,1.0,sell win_3,2022-04-25 16:34:00,128.1165,128.194
2022-04-26 10:11:00,127.882,127.884,127.83,127.834,242,0,0,127.92593,127.91874,127.88252,0.04489,0.04395,0.03005,127.8575,127.92213910621282,127.92213910621282,127.83,,,,,,1.0,sell win_3,2022-04-26 10:39:00,127.8925,127.958
2022-04-26 10:59:00,127.899,127.909,127.89,127.89,139,0,0,127.89259,127.87551,127.85624,0.0348,0.03597,0.03266,127.897,127.90945343422304,127.90945343422304,127.89,,,,,,1.0,sell break even,2022-04-26 11:01:00,127.92349999999999,127.96
2022-04-26 17:13:00,127.282,127.282,127.247,127.252,144,0,0,127.37786,127.27612,127.20353,0.03938,0.03979,0.03798,127.26575,127.29106833982324,127.29106833982324,127.247,,,,,,1.0,sell break even,2022-04-26 17:25:00,127.28649999999999,127.329
2022-04-26 17:34:00,127.311,127.311,127.289,127.297,162,0,0,127.35667,127.27363,127.24346,0.03187,0.03257,0.03887,127.302,127.32075484290998,127.32075484290998,127.289,,,,,,1.0,sell break even,2022-04-26 17:38:00,127.286,127.342
2022-04-26 17:39:00,127.222,127.252,127.219,127.242,191,0,0,127.35199,127.27255,127.24642,0.03391,0.03209,0.03904,127.23375,127.26850796384092,127.26850796384092,127.219,,,,,,1.0,sell break even,2022-04-26 17:41:00,127.261,127.306
