,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-05-13 16:58:00,1.21717,1.21733,1.21706,1.21718,193,0,1,1.21861,1.21813,1.21749,0.00047,0.00046,0.0003,1.21718,1.217610657351543,1.217610657351543,1.21706,1.0,sell lose,2022-05-13 17:00:00,1.217595,1.21817,,,,,
2022-05-16 09:35:00,1.22415,1.22415,1.22394,1.22401,100,0,1,1.22441,1.22434,1.22432,0.00028,0.00027,0.0002,1.22406,1.2245577552183438,1.2245577552183438,1.22394,1.0,sell win_3,2022-05-16 09:42:00,1.224415,1.22493,,,,,
2022-05-16 10:54:00,1.22255,1.22257,1.22237,1.2224,92,0,1,1.22382,1.22364,1.22362,0.00043,0.00042,0.00027,1.22247,1.2232917030300507,1.2232917030300507,1.22237,1.0,sell break even,2022-05-16 11:03:00,1.22322,1.22411,,,,,
2022-05-16 11:19:00,1.2231,1.22324,1.22296,1.22306,114,0,1,1.22358,1.22334,1.22311,0.00038,0.00038,0.0003,1.22309,1.223244662028602,1.223244662028602,1.22296,1.0,sell break even,2022-05-16 11:43:00,1.22292,1.2236,,,,,
2022-05-17 13:00:00,1.24539,1.2456,1.24539,1.24554,72,0,1,1.2438,1.24543,1.24596,0.00048,0.00049,0.00047,1.24548,1.2452593046001132,1.2456,1.2452593046001132,,,,,,1.0,buy win_3,2022-05-17 13:17:00,1.245055,1.24448
2022-05-17 13:17:00,1.24612,1.2467,1.24612,1.24649,226,0,1,1.24414,1.24556,1.24596,0.00045,0.00044,0.00048,1.24636,1.2458252621406904,1.2467,1.2458252621406904,,,,,,1.0,buy win_3,2022-05-17 13:19:00,1.246105,1.24548
2022-05-17 13:19:00,1.24727,1.24789,1.24723,1.24755,318,0,0,1.2442,1.24562,1.24607,0.0005,0.00046,0.00048,1.24749,1.2464813155351726,1.24789,1.2464813155351726,,,,,,1.0,buy break even,2022-05-17 13:40:00,1.2467,1.24548
2022-05-17 13:46:00,1.24648,1.24685,1.24637,1.24659,134,0,0,1.24491,1.24619,1.24673,0.00042,0.00042,0.00048,1.24657,1.2462179637745865,1.24685,1.2462179637745865,,,,,,1.0,buy break even,2022-05-17 14:01:00,1.246375,1.24587
2022-05-17 14:04:00,1.24663,1.24695,1.24661,1.24677,83,0,1,1.2452,1.24632,1.2467,0.00035,0.00035,0.00047,1.24674,1.2464963019865565,1.24695,1.2464963019865565,,,,,,1.0,buy lose,2022-05-17 14:06:00,1.24657,1.24616
2022-05-17 14:13:00,1.24668,1.24697,1.24659,1.24689,90,0,1,1.24529,1.24631,1.24657,0.00039,0.00038,0.00047,1.24678,1.2462203443398177,1.24697,1.2462203443398177,,,,,,1.0,buy win_3,2022-05-17 14:33:00,1.246435,1.24587
2022-05-17 15:33:00,1.24773,1.24805,1.24763,1.24794,275,0,0,1.2469,1.24774,1.24814,0.00052,0.00047,0.00042,1.24784,1.2473965658443782,1.24805,1.2473965658443782,,,,,,1.0,buy win_3,2022-05-17 15:40:00,1.24719,1.2463
2022-05-19 12:33:00,1.23763,1.23801,1.2376,1.23789,126,0,0,1.23774,1.23807,1.23822,0.00039,0.00039,0.0004,1.23778,1.2375180113910444,1.23801,1.2375180113910444,,,,,,1.0,buy win_3,2022-05-19 12:45:00,1.2375099999999999,1.23698
2022-05-19 14:28:00,1.24126,1.2416,1.24121,1.24157,100,0,0,1.23996,1.24072,1.24138,0.00037,0.00037,0.00039,1.24141,1.2410329489666236,1.2416,1.2410329489666236,,,,,,1.0,buy win_3,2022-05-19 14:36:00,1.24113,1.2406300000000001
2022-05-19 15:26:00,1.24133,1.24174,1.24122,1.24174,88,0,0,1.241,1.24171,1.24204,0.0003,0.00029,0.00038,1.24151,1.2412304280721012,1.24174,1.24122,,,,,,1.0,buy win_3,2022-05-19 15:35:00,1.24139,1.24101
2022-05-19 19:28:00,1.25026,1.25042,1.25016,1.25035,104,0,0,1.24872,1.24991,1.25057,0.00041,0.00042,0.00053,1.2503,1.2501208277205182,1.25042,1.2501208277205182,,,,,,1.0,buy lose,2022-05-19 19:35:00,1.25045,1.2498
2022-05-20 09:57:00,1.24763,1.24779,1.24755,1.24779,85,0,0,1.24676,1.24728,1.24781,0.00031,0.00031,0.00025,1.24769,1.247531368092733,1.24779,1.247531368092733,,,,,,1.0,buy lose,2022-05-20 10:00:00,1.24782,1.24725
2022-05-20 10:32:00,1.24743,1.24799,1.24743,1.24799,138,0,0,1.24701,1.24742,1.24758,0.00047,0.00045,0.00028,1.24771,1.2470025668949278,1.24799,1.2470025668949278,,,,,,1.0,buy win_3,2022-05-20 10:52:00,1.24728,1.24654
2022-05-20 19:14:00,1.24779,1.24802,1.24773,1.24787,116,0,0,1.24777,1.24783,1.24813,0.00034,0.00034,0.00035,1.24785,1.2476540926635584,1.24802,1.2476540926635584,,,,,,1.0,buy win_3,2022-05-20 19:31:00,1.2476349999999998,1.24722
2022-05-23 08:31:00,1.25478,1.25478,1.25458,1.25458,58,0,0,1.25406,1.25437,1.25445,0.0002,0.00019,0.00018,1.25468,1.2544654600817755,1.25478,1.2544654600817755,,,,,,1.0,buy win_3,2022-05-23 08:49:00,1.25481,1.25421
2022-05-23 09:15:00,1.25553,1.25553,1.25526,1.25546,48,0,0,1.25455,1.25494,1.2553,0.00039,0.00039,0.0002,1.25545,1.2553076846450275,1.25553,1.25526,,,,,,1.0,buy win_3,2022-05-23 10:27:00,1.25556,1.25487
2022-05-23 14:51:00,1.25776,1.25802,1.25768,1.25801,65,0,0,1.25777,1.25814,1.2583,0.00028,0.00028,0.00034,1.25787,1.257648792480315,1.25802,1.257648792480315,,,,,,1.0,buy break even,2022-05-23 14:58:00,1.25768,1.25731
2022-05-23 17:15:00,1.25782,1.25804,1.25779,1.25796,64,0,0,1.25731,1.25732,1.25749,0.00033,0.00034,0.00031,1.2579,1.2575886909447225,1.25804,1.2575886909447225,,,,,,1.0,buy break even,2022-05-23 17:24:00,1.257535,1.2570000000000001
2022-05-24 09:44:00,1.25746,1.25762,1.25736,1.25755,58,0,0,1.25689,1.25715,1.25746,0.00025,0.00025,0.00018,1.2575,1.257285351070513,1.25762,1.257285351070513,,,,,,1.0,buy win_3,2022-05-24 09:53:00,1.2572299999999998,1.25681
2022-05-24 10:59:00,1.25812,1.25826,1.25802,1.25825,92,0,0,1.25785,1.25827,1.25857,0.00034,0.00034,0.00027,1.25816,1.257989405880744,1.25826,1.257989405880744,,,,,,1.0,buy break even,2022-05-24 11:04:00,1.25829,1.25774
2022-05-24 15:09:00,1.25006,1.25014,1.24969,1.24981,138,0,0,1.25117,1.2506,1.2504,0.00034,0.00033,0.00036,1.24992,1.25038356374053,1.25038356374053,1.24969,1.0,sell win_3,2022-05-24 15:19:00,1.2501799999999998,1.25071,,,,,
2022-05-24 15:56:00,1.24957,1.24963,1.2493,1.24932,74,0,0,1.25022,1.24952,1.24895,0.00037,0.00036,0.00032,1.24946,1.24983565756885,1.24983565756885,1.2493,1.0,sell win_3,2022-05-24 16:04:00,1.2497449999999999,1.25023,,,,,
2022-05-24 16:25:00,1.24947,1.24948,1.24921,1.24924,82,0,0,1.24993,1.24935,1.24907,0.00035,0.00036,0.00032,1.24935,1.249497934801794,1.249497934801794,1.24921,1.0,sell lose,2022-05-24 16:30:00,1.24917,1.2498,,,,,
2022-05-24 17:30:00,1.25138,1.25179,1.25132,1.25175,184,0,0,1.2504,1.25042,1.25086,0.00058,0.00059,0.0004,1.25156,1.251240326569354,1.25179,1.251240326569354,,,,,,1.0,buy break even,2022-05-24 17:33:00,1.251075,1.25033
2022-05-24 17:52:00,1.25138,1.25177,1.25138,1.25154,201,0,0,1.25061,1.25074,1.25119,0.0005,0.0005,0.00042,1.25152,1.251180708322603,1.25177,1.251180708322603,,,,,,1.0,buy win_3,2022-05-24 18:01:00,1.2511999999999999,1.2506
2022-05-24 18:16:00,1.25193,1.25232,1.25193,1.25213,175,0,0,1.25094,1.25122,1.25177,0.00039,0.0004,0.00044,1.25208,1.2517383579028074,1.25232,1.2517383579028074,,,,,,1.0,buy lose,2022-05-24 18:21:00,1.25177,1.25119
2022-05-24 18:25:00,1.25152,1.25194,1.25152,1.25188,179,0,0,1.25099,1.25127,1.25171,0.00038,0.00039,0.00044,1.25171,1.251442535855279,1.25194,1.251442535855279,,,,,,1.0,buy win_3,2022-05-24 18:44:00,1.2515049999999999,1.25104
2022-05-25 09:39:00,1.25392,1.25421,1.25389,1.25391,116,0,0,1.2534,1.25346,1.25347,0.0003,0.00029,0.00018,1.25398,1.2536979671078017,1.25421,1.2536979671078017,,,,,,1.0,buy win_3,2022-05-25 09:50:00,1.253735,1.25323
2022-05-25 10:12:00,1.25436,1.25437,1.25412,1.25428,118,0,0,1.25374,1.25396,1.25429,0.00041,0.00042,0.00021,1.25428,1.2541616135960396,1.25437,1.25412,,,,,,1.0,buy lose,2022-05-25 10:16:00,1.2544,1.25388
2022-05-25 10:24:00,1.25451,1.25535,1.25443,1.25489,193,0,0,1.25374,1.25393,1.2541,0.00057,0.00047,0.00023,1.2548,1.253476850979882,1.25535,1.253476850979882,,,,,,1.0,buy break even,2022-05-25 10:55:00,1.253925,1.25247
2022-05-25 14:23:00,1.25007,1.2501,1.24978,1.24978,103,0,0,1.25083,1.25016,1.2497,0.00035,0.00035,0.00035,1.24993,1.2501595699221717,1.2501595699221717,1.24978,1.0,sell win_3,2022-05-25 14:26:00,1.25009,1.25044,,,,,
2022-05-25 14:26:00,1.24954,1.24958,1.24891,1.24893,102,0,0,1.25078,1.25012,1.24966,0.00037,0.00036,0.00035,1.24924,1.2497511962402714,1.2497511962402714,1.24891,1.0,sell break even,2022-05-25 14:31:00,1.2496450000000001,1.25042,,,,,
