,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop
2022-04-12 15:14:00,1.08612,1.08613,1.08602,1.08603,53,0,0,1.08646,1.08633,1.08614,0.00019,0.0002,0.00018,1.08608,1.086224661762864,1.086224661762864,1.08602,,,,,,1.0,sell lose,2022-04-12 15:30:00,1.08599,1.0864
2022-04-13 15:48:00,1.08275,1.0828,1.0827,1.08275,89,0,0,1.08302,1.08293,1.08269,0.00024,0.00026,0.00018,1.08275,1.0828047428508756,1.0828047428508756,1.0827,,,,,,1.0,sell win_3,2022-04-13 16:09:00,1.08267,1.0830899999999999
2022-04-13 16:52:00,1.08236,1.08237,1.08213,1.08221,97,0,0,1.08253,1.0823,1.08207,0.00027,0.00028,0.00022,1.08227,1.082439526979405,1.082439526979405,1.08213,,,,,,1.0,sell break even,2022-04-13 17:03:00,1.0821,1.08264
2022-04-14 12:58:00,1.0913,1.09132,1.09125,1.09132,25,0,0,1.09112,1.09116,1.09128,0.00017,0.00018,0.00019,1.0913,1.091247164389888,1.09132,1.091247164389888,1.0,buy lose,2022-04-14 13:28:00,1.09135,1.09101,,,,,
2022-04-14 14:46:00,1.08884,1.08941,1.08828,1.0886,354,0,0,1.09089,1.09081,1.0907,0.00045,0.00029,0.00017,1.08878,1.0908315779877038,1.0908315779877038,1.08828,,,,,,1.0,sell win_3,2022-04-14 15:51:00,1.0900050000000001,1.09176
2022-04-14 18:14:00,1.08069,1.08073,1.08044,1.08062,210,0,0,1.08179,1.07994,1.07886,0.00066,0.00066,0.00054,1.08062,1.0808441056609857,1.0808441056609857,1.08044,,,,,,1.0,sell break even,2022-04-14 18:15:00,1.081085,1.08176
2022-04-14 18:21:00,1.08082,1.08096,1.08038,1.08045,220,0,0,1.08175,1.08007,1.07941,0.00064,0.00065,0.00055,1.08065,1.0812333133254763,1.0812333133254763,1.08038,,,,,,1.0,sell win_3,2022-04-14 18:29:00,1.081055,1.08176
2022-04-14 18:29:00,1.07978,1.07995,1.07928,1.07958,230,0,0,1.08162,1.08008,1.0796,0.00058,0.00058,0.00055,1.07965,1.0801004816926776,1.0801004816926776,1.07928,,,,,,1.0,sell break even,2022-04-14 19:00:00,1.0800450000000001,1.08084
2022-04-18 11:05:00,1.07905,1.07905,1.07896,1.07898,18,0,0,1.07949,1.07944,1.07931,0.00018,0.00018,0.00013,1.07901,1.0792408739242,1.0792408739242,1.07896,,,,,,1.0,sell break even,2022-04-18 11:35:00,1.07893,1.07948
2022-04-18 11:41:00,1.07916,1.07916,1.07912,1.07913,20,0,0,1.07928,1.07914,1.07894,0.00013,0.00014,0.00014,1.07914,1.079194833397202,1.079194833397202,1.07912,,,,,,1.0,sell lose,2022-04-18 12:01:00,1.07909,1.07933
