,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,adx,di_p,di_n,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,adx_heikin_ema_buy,adx_heikin_ema_buy_results,adx_heikin_ema_buy_end,adx_heikin_ema_buy_enter,adx_heikin_ema_buy_stop,adx_heikin_ema_sell,adx_heikin_ema_sell_results,adx_heikin_ema_sell_end,adx_heikin_ema_sell_enter,adx_heikin_ema_sell_stop
2022-04-29 16:41:00,1.05298,1.05322,1.05292,1.05292,93,0,0,1.05421,1.05361,1.05314,9.454923042175349,19.61685684651636,20.582375959198345,0.00043,0.00044,0.00035,1.05301,1.0531850776318952,1.05322,1.05292,,,,,,1.0,sell win_3,2022-04-29 16:52:00,1.053305,1.05372
2022-05-05 16:29:00,1.05607,1.05613,1.05594,1.05602,118,0,0,1.05688,1.0562,1.05577,32.67919599829077,27.103449684981637,13.557600229345924,0.00033,0.00034,0.00034,1.05604,1.0562981752465053,1.0562981752465053,1.05594,,,,,,1.0,sell win_3,2022-05-05 16:32:00,1.05627,1.05663
2022-05-05 16:32:00,1.05562,1.05563,1.05515,1.05525,163,0,0,1.05684,1.05617,1.05575,29.45703047953447,21.175643528776902,26.844943254196004,0.00033,0.00033,0.00034,1.05541,1.0559222719058132,1.0559222719058132,1.05515,,,,,,1.0,sell break even,2022-05-05 16:41:00,1.0558,1.0564799999999999
2022-05-05 16:45:00,1.05544,1.05558,1.05515,1.05516,164,0,0,1.05667,1.05602,1.05563,18.12817485140569,23.66818364006741,29.289903823358948,0.00036,0.00036,0.00035,1.05533,1.0557474526699104,1.0557474526699104,1.05515,,,,,,1.0,sell win_3,2022-05-05 16:50:00,1.05564,1.05616
2022-05-05 17:01:00,1.05474,1.05515,1.05449,1.05504,220,0,0,1.05643,1.05579,1.05538,15.387512638178748,17.17817435209342,27.711258454215336,0.00049,0.00045,0.00036,1.05485,1.0553677257912089,1.0553677257912089,1.05449,,,,,,1.0,sell break even,2022-05-05 17:10:00,1.055155,1.05585
2022-05-05 17:34:00,1.05488,1.05512,1.05464,1.05469,221,0,0,1.05598,1.05538,1.05499,10.303594678457472,14.803701248998438,20.2551527990852,0.00045,0.00044,0.00039,1.05483,1.055113839807713,1.05512,1.05464,,,,,,1.0,sell break even,2022-05-05 17:35:00,1.0550549999999999,1.0554999999999999
2022-05-09 11:59:00,1.05073,1.0508,1.0506,1.05077,81,0,0,1.05113,1.05111,1.051,13.225857751804371,19.75074322298985,26.602877031085526,0.00027,0.00027,0.0003,1.05072,1.0509216728974495,1.0509216728974495,1.0506,,,,,,1.0,sell lose,2022-05-09 12:04:00,1.05057,1.05118
2022-05-11 12:43:00,1.05592,1.05619,1.05591,1.05612,51,0,0,1.05571,1.05608,1.05628,21.38462188663464,26.007542233927804,21.967556646021432,0.00023,0.00023,0.00029,1.05604,1.0558747049706911,1.05619,1.0558747049706911,1.0,buy break even,2022-05-11 13:08:00,1.05622,1.05573,,,,,
2022-05-11 15:15:00,1.05531,1.05535,1.05486,1.05488,106,0,0,1.05535,1.05525,1.05513,19.572242944722927,18.95026308812756,25.93549202627695,0.00023,0.00022,0.00024,1.0551,1.0554360730009602,1.0554360730009602,1.05486,,,,,,1.0,sell break even,2022-05-11 15:19:00,1.055245,1.05566
2022-05-11 15:26:00,1.05469,1.0548,1.05458,1.05478,124,0,0,1.0553,1.05519,1.05505,17.028824584734327,21.700050780856785,26.187102312525194,0.00029,0.00029,0.00024,1.05471,1.05500626761377,1.05500626761377,1.05458,,,,,,1.0,sell break even,2022-05-11 15:29:00,1.05495,1.05535
2022-05-11 15:30:00,1.0532,1.0533,1.05103,1.05183,477,0,0,1.05524,1.05509,1.05484,21.17467690251033,10.70840331139685,58.92450944044754,0.00053,0.00036,0.00024,1.05234,1.0544547667258606,1.0544547667258606,1.05103,,,,,,1.0,sell break even,2022-05-11 15:34:00,1.05307,1.05514
